name	createdAt	updatedA
не указано	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
навалом	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
коробки	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
россыпью	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
паллеты	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
пачки	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
мешки	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
биг-бэги	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
Ящики	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
листы	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
пирамида	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
рулоны	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
еврокубы	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
катушки	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
барабаны	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
бочки	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
канистры	2022-08-31 09:23:15.695+00	2022-08-31 09:23:15.695+00
