name;createdAt;updatedA
верхнЯЯ;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
боковаЯ;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
заднЯЯ;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
с полной растентовкой;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
со снЯтием поперечных перекладин;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
со снЯтием стоек;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
без ворот;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
гидроборт;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
аппарели;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
с обрешеткой;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
с бортами;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
боковаЯ с 2-х сторон;2022-08-31 09:23:15.695+00;2022-08-31 09:23:15.695+00
